Reg,St,Site Name                                                                ,,Site ID,EPA ID,Address,City,Zip,County,,,FF?,Latitude,Longitude,Deleted Date,,
‭03‬,PA,RESIN DISPOSAL,,‭0301042‬,PAD063766828,TOP OF STILLEY AVENUE ,JEFFERSON BOROUGH,15025,ALLEGHENY,,,N,‭+40.270500‬,‭-79.912400‬ ,10/21/03,,
‭03‬,PA,"RIVER ROAD LANDFILL (WASTE MANAGEMENT, INC.)",,‭0300446‬,PAD000439083,RTE 846 RIVER RD ,HERMITAGE,16148,MERCER,,,N,‭+41.266660‬,‭-80.487500‬ ,01/29/04,,
‭03‬,PA,ROUTE 940 DRUM DUMP,,‭0301831‬,PAD981034630,OFF RTE 940 ,POCONO SUMMIT,18350,MONROE,,,N,‭+41.110500‬,‭-75.382500‬ ,11/30/00,,
‭03‬,PA,TAYLOR BOROUGH DUMP,,‭0301506‬,PAD980693907,PRINCE STREET ,TAYLOR BOROUGH,18517,LACKAWANNA,,,N,‭+41.407210‬,‭-75.718330‬ ,09/30/99,,
‭03‬,PA,VOORTMAN FARM,,‭0301453‬,PAD980692719,VERA CRUZ RD ,UPPER SAUCON TWP,18034,LEHIGH,,,N,‭+40.547000‬,‭-75.447500‬ ,05/31/89,,
‭03‬,PA,WADE (ABM),,‭0301343‬,PAD980539407,1 FLOWER STREET ,CHESTER,19013,DELAWARE,,,N,‭+39.833700‬,‭-75.377500‬ ,03/23/89,,
‭03‬,PA,WESTLINE,,‭0301444‬,PAD980692537,OFF OF OLD ROUTE 219 ,WESTLINE,16740,MCKEAN,,,N,‭+41.774710‬,‭-78.771660‬ ,10/14/92,,
‭03‬,PA,YORK COUNTY SOLID WASTE AND REFUSE AUTHORITY LANDFILL,,‭0301590‬,PAD980830715,ROAD #3 - BOX 426 ,HOPEWELL TOWNSHIP,17363,YORK,,,N,‭+39.782360‬,‭-76.607210‬ ,02/14/05,,
‭03‬,VA,DIXIE CAVERNS COUNTY LANDFILL,,‭0302680‬,VAD980552095,RTE 778 ,SALEM,24153,ROANOKE,,,N,‭+37.259710‬,‭-80.193610‬ ,09/28/01,,
‭03‬,VA,MATTHEWS ELECTROPLATING,,‭0302757‬,VAD980712970,ROUTE 796 ,ROANOKE,24153,ROANOKE CITY,,,N,‭+37.256900‬,‭-80.167500‬ ,01/19/89,,
‭03‬,VA,RHINEHART TIRE FIRE DUMP,,‭0302772‬,VAD980831796,MT FALLS ,FREDERICK COUNTY,22601,FREDERICK,,,N,‭+39.188330‬,‭-78.310420‬ ,09/30/05,,
‭03‬,VA,SUFFOLK CITY LANDFILL,,‭0302775‬,VAD980917983,UNOBTAINABLE ,SUFFOLK,23434,SUFFOLK CITY,,,N,‭+36.678400‬,‭-76.583900‬ ,01/24/95,,
‭03‬,WV,FOLLANSBEE,,‭0302894‬,WVD004336749,NEAR BENCH MARK 681 ,FOLLANSBEE,26037,BROOKE,,,N,‭+40.340280‬,‭-80.606930‬ ,01/16/04,,
‭03‬,WV,LEETOWN PESTICIDE,,‭0303045‬,WVD980693402,ROAD 15/1 MIDDLEWAY AREA ,LEETOWN,25430,JEFFERSON,,,N,‭+39.346500‬,‭-77.909500‬ ,08/29/96,,
‭04‬,AL,MOWBRAY ENGINEERING CO.,,‭0404343‬,ALD031618069,JCT OF 2ND & BEELAND STS ,GREENVILLE,36037,BUTLER,,,N,‭+31.831660‬,‭-86.613050‬ ,12/30/93,,
‭04‬,AL,PERDIDO GROUND WATER CONTAMINATION,,‭0404345‬,ALD980728703,COUNTY RD 47 S ,PERDIDO,36562,BALDWIN,,,N,‭+31.012500‬,‭-87.625000‬ ,05/16/17,,
‭04‬,AL,"REDWING CARRIERS, INC. (SARALAND)",,‭0400417‬,ALD980844385,527 US HWY 43 ,SARALAND,36571,MOBILE,,,N,‭+30.808330‬,‭-88.073060‬ ,09/28/15,,
‭04‬,FL,ALPHA CHEMICAL CORP.,,‭0400623‬,FLD041495441,4620 N GALLOWAY RD ,LAKELAND,33810,POLK,,,N,‭+28.100830‬,‭-82.009710‬ ,06/28/95,,
‭04‬,FL,ANACONDA ALUMINUM CO./MILGO ELECTRONICS CORP.,,‭0400581‬,FLD020536538,3630 NW 76TH ST ,MIAMI,33147,MIAMI-DADE,,,N,‭+25.843060‬,‭-80.256530‬ ,07/09/98,,
‭04‬,FL,"B&B CHEMICAL CO., INC.",,‭0400566‬,FLD004574190,875 W 20TH ST ,HIALEAH,33010,MIAMI-DADE,,,N,‭+25.839580‬,‭-80.300130‬ ,08/05/14,,
‭04‬,FL,BEULAH LANDFILL,,‭0400836‬,FLD980494660,ROUTE 9 US HWY 90 ,PENSACOLA,32506,ESCAMBIA,,,N,‭+30.513060‬,‭-87.345130‬ ,06/22/98,,
‭04‬,FL,BMI-TEXTRON,,‭0400668‬,FLD052172954,1121 SILVER BEACH RD ,LAKE PARK,33403,PALM BEACH,,,N,‭+26.793700‬,‭-80.073800‬ ,11/18/02,,
‭04‬,FL,BROWN WOOD PRESERVING,,‭0400917‬,FLD980728935,JCT GOLDKISS BLVD & SNOWMILL ,LIVE OAK,32060,SUWANNEE,,,N,‭+30.302500‬,‭-83.013050‬ ,09/22/95,,
‭04‬,FL,CALLAWAY & SON DRUM SERVICE,,‭0400792‬,FLD094590916,890 EAST LAKE ALFRED DRIVE ,LAKE ALFRED,33850,POLK,,,N,‭+28.098050‬,‭-81.714720‬ ,08/04/09,,
‭04‬,FL,"CHEMFORM, INC.",,‭0400756‬,FLD080174402,1410 SW 8TH ST ,POMPANO BEACH,33069,BROWARD,,,N,‭+26.186750‬,‭-80.142800‬ ,07/28/00,,
‭04‬,FL,COLEMAN-EVANS WOOD PRESERVING CO.,,‭0401202‬,FLD991279894,101 CELERY ST ,WHITEHOUSE,32220,DUVAL,,,N,‭+30.313880‬,‭-81.842780‬ ,05/27/14,,
‭04‬,FL,DAVIE LANDFILL,,‭0400897‬,FLD980602288,SW 142ND AVE ,DAVIE,33314,BROWARD,,,N,‭+26.069600‬,‭-80.342600‬ ,08/21/06,,
‭04‬,FL,DUBOSE OIL PRODUCTS CO.,,‭0400492‬,FLD000833368,HWY C97 ,CANTONMENT,32533,ESCAMBIA,,,N,‭+30.618060‬,‭-87.376950‬ ,10/01/04,,
‭04‬,FL,GOLD COAST OIL CORP.,,‭0400736‬,FLD071307680,2835 SW 71 AVE ,MIAMI,33155,MIAMI-DADE,,,N,‭+25.743400‬,‭-80.311200‬ ,10/09/96,,
‭04‬,FL,HIPPS ROAD LANDFILL,,‭0400908‬,FLD980709802,HIPPS RD ,DUVAL COUNTY,32222,DUVAL,,,N,‭+30.216930‬,‭-81.805560‬ ,02/27/11,,
‭04‬,FL,KASSAUF-KIMERLING BATTERY DISPOSAL,,‭0400914‬,FLD980727820,58TH ST & COLUMBUS DR ,TAMPA,33619,HILLSBOROUGH,,,N,‭+27.969444‬,‭-82.388889‬ ,10/02/00,,
‭04‬,FL,MUNISPORT LANDFILL,,‭0400769‬,FLD084535442,152ND ST NE & BISCAYNE BLVD ,NORTH MIAMI,33161,MIAMI-DADE,,,N,‭+25.908330‬,‭-80.154160‬ ,09/24/99,,
‭04‬,FL,NORTHWEST 58TH STREET LANDFILL,,‭0400900‬,FLD980602643,NW 58TH ST ,HIALEAH,33012,MIAMI-DADE,,,N,‭+25.833330‬,‭-80.347210‬ ,10/11/96,,
‭04‬,FL,PARRAMORE SURPLUS,,‭0400622‬,FLD041140344,US HWY 90 W  ,MOUNT PLEASANT,32352,GADSDEN,,,N,‭+30.660680‬,‭-84.693750‬ ,02/21/89,,
‭04‬,FL,PIONEER SAND CO.,,‭0400684‬,FLD056116965,EAST OF SAUFLEY FIELD RD ,WARRINGTON,32506,ESCAMBIA,,,N,‭+30.474160‬,‭-87.351380‬ ,02/08/93,,
‭04‬,FL,SCHUYLKILL METALS CORP.,,‭0400710‬,FLD062794003,402 S WOODROW WILSON DR ,PLANT CITY,33566,HILLSBOROUGH,,,N,‭+28.010830‬,‭-82.143060‬ ,08/22/01,,
‭04‬,FL,SIXTY-SECOND STREET DUMP,,‭0400916‬,FLD980728877,N OF COLUMBUS W OF 62ND ST ,TAMPA,33619,HILLSBOROUGH,,,N,‭+27.969430‬,‭-82.386380‬ ,10/01/99,,
‭04‬,FL,STANDARD AUTO BUMPER CORP.,,‭0400554‬,FLD004126520,2500 WEST 3RD COURT ,HIALEAH,33010,MIAMI-DADE,,,N,‭+25.844440‬,‭-80.289720‬ ,10/26/07,,
‭04‬,FL,"TRI-CITY OIL CONSERVATIONIST, INC",,‭0400733‬,FLD070864541,8767 1/2 N 50TH ST ,TAMPA,33617,HILLSBOROUGH,,,N,‭+28.031800‬,‭-82.401500‬ ,09/01/88,,
‭04‬,FL,VARSOL SPILL,,‭0400898‬,FLD980602346,MIAMI INT'L AIRPORT ,MIAMI,33159,MIAMI-DADE,,,N,‭+25.804700‬,‭-80.277200‬ ,09/01/88,,
‭04‬,FL,"WILSON CONCEPTS OF FLORIDA, INC.",,‭0404399‬,FLD041184383,1408 SW 8TH STREET ,POMPANO BEACH,33069,BROWARD,,,N,‭+26.218670‬,‭-80.142760‬ ,04/04/95,,
‭04‬,FL,WOODBURY CHEMICAL CO. (PRINCETON PLANT),,‭0400563‬,FLD004146346,13920 SW 248TH ST ,PRINCETON,33032,MIAMI-DADE,,,N,‭+25.536700‬,‭-80.412400‬ ,11/27/95,,
‭04‬,FL,YELLOW WATER ROAD,,‭0400933‬,FLD980844179,1190 YELLOW WATER ROAD ,BALDWIN,32234,DUVAL,,,N,‭+30.280300‬,‭-81.971700‬ ,05/18/99,,
‭04‬,GA,"CEDARTOWN INDUSTRIES, INC.",,‭0401627‬,GAD095840674,404 S. FURNACE STREET ,CEDARTOWN,30125,POLK,,,N,‭+34.008200‬,‭-85.263600‬ ,09/19/06,,
‭04‬,GA,CEDARTOWN MUNICIPAL LANDFILL,,‭0401660‬,GAD980495402,WEST OF N. TENTH ST AND GIRARD AVE ,CEDARTOWN,30125,POLK,,,N,‭+34.015960‬,‭-85.282630‬ ,03/10/99,,
‭04‬,GA,"LUMINOUS PROCESSES, INC.",,‭0401841‬,GAD990855819,US HWY 78 & 29 4 MILES W ,ATHENS,30622,CLARKE,,,N,‭+33.940280‬,‭-83.471950‬ ,12/30/82,,
‭04‬,GA,MONSANTO CORP. (AUGUSTA PLANT),,‭0401299‬,GAD001700699,MARVIN GRIFFIN RD ,AUGUSTA,30903,RICHMOND,,,N,‭+33.389450‬,‭-81.993060‬ ,03/09/98,,
‭04‬,GA,POWERSVILLE SITE,,‭0401668‬,GAD980496954,GA HWY 49 N ,PEACH COUNTY,31074,PEACH,,,N,‭+32.612500‬,‭-83.794430‬ ,11/01/10,,
‭04‬,KY,A.L. TAYLOR (VALLEY OF DRUMS),,‭0402072‬,KYD980500961,ST HWY 1020 ,BROOKS,40165,BULLITT,,,N,‭+38.081930‬,‭-85.725000‬ ,05/17/96,,
‭04‬,KY,GENERAL TIRE & RUBBER CO. (MAYFIELD LANDFILL),,‭0401932‬,KYD006371074,1 GENERAL ST ,MAYFIELD,42066,GRAVES,,,N,‭+36.790600‬,‭-88.635800‬ ,10/27/00,,
‭04‬,KY,HOWE VALLEY LANDFILL,,‭0402090‬,KYD980501191,HAWKINS DR ,HOWE VALLEY,42732,HARDIN,,,N,‭+37.668500‬,‭-86.124200‬ ,07/26/96,,
‭04‬,KY,LEE'S LANE LANDFILL,,‭0402104‬,KYD980557052,LEES LN @ OHIO RIV ,LOUISVILLE,40216,JEFFERSON,,,N,‭+38.191110‬,‭-85.883060‬ ,04/25/96,,
‭04‬,KY,NATIONAL SOUTHWIRE ALUMINUM CO.,,‭0401991‬,KYD049062375,JCT KY HWY 271 & 334 ,HAWESVILLE,42348,HANCOCK,,,N,‭+37.944990‬,‭-86.787770‬ ,10/05/15,,
‭04‬,KY,NEWPORT DUMP,,‭0405547‬,KYD985066380,LICKING PIKE AND QUEEN CITY AV ,NEWPORT,41072,CAMPBELL,,,N,‭+39.070720‬,‭-84.491220‬ ,06/03/96,,
‭04‬,KY,RED PENN SANITATION CO. LANDFILL,,‭0404239‬,KYD981469794,SR 362 (ASH AVE) ,PEEWEE VALLEY,40014,OLDHAM,,,N,‭+38.288100‬,‭-85.465400‬ ,09/14/01,,
‭04‬,MS,FLOWOOD SITE,,‭0402473‬,MSD980710941,STATE HWY 468 ,FLOWOOD,39208,RANKIN,,,N,‭+32.300000‬,‭-90.145830‬ ,02/16/96,,
‭04‬,MS,"NEWSOM BROTHERS/OLD REICHHOLD CHEMICALS, INC.",,‭0402479‬,MSD980840045,WADE ST & PEARL ST ,COLUMBIA,39429,MARION,,,N,‭+31.244710‬,‭-89.826930‬ ,09/27/00,,
‭04‬,MS,WALCOTTE CHEMICAL CO. WAREHOUSES,,‭0402466‬,MSD980601736,NORTH & ALEXANDER STS ,GREENVILLE,38701,WASHINGTON,,,N,‭+33.411000‬,‭-91.053800‬ ,12/30/82,,
‭04‬,NC,"MARTIN-MARIETTA, SODYECO, INC.",,‭0402588‬,NCD001810365,HWY 27 W ,CHARLOTTE,28214,MECKLENBURG,,,N,‭+35.294450‬,‭-81.000000‬ ,01/20/12,,
‭04‬,NC,NEW HANOVER CNTY AIRPORT BURN PIT,,‭0403120‬,NCD981021157,GARDNER DRIVE ,WILMINGTON,28401,NEW HANOVER,,,N,‭+34.275000‬,‭-77.915280‬ ,09/20/12,,
‭04‬,NC,ROADSIDE PCB SPILL,,‭0403068‬,NCD980602163,210 MILES OF NC HWY ,210 MILES OF ROADS,27589,WARREN,,,N,‭+36.338100‬,‭-78.166100‬ ,03/07/86,,
‭04‬,SC,GEIGER (C & M OIL),,‭0403400‬,SCD980711279,OFF SC RT 162 ,RANTOULES,29494,CHARLESTON,,,N,‭+32.773610‬,‭-80.159160‬ ,01/06/14,,
‭04‬,SC,GOLDEN STRIP SEPTIC TANK SERVICE,,‭0403404‬,SCD980799456,ROUTE 1 ADAMS MILL RD ,SIMPSONVILLE,29681,GREENVILLE,,,N,‭+34.785000‬,‭-82.246600‬ ,09/10/98,,
‭04‬,SC,INDEPENDENT NAIL CO.,,‭0403262‬,SCD004773644,HWY 86 & 21 ,BEAUFORT,29902,BEAUFORT,,,N,‭+32.466380‬,‭-80.741110‬ ,04/03/95,,
‭04‬,SC,"KOPPERS CO., INC. (FLORENCE PLANT)",,‭0403251‬,SCD003353026,KOPPERS RD ,FLORENCE,29503,FLORENCE,,,N,‭+34.202200‬,‭-79.722900‬ ,09/13/13,,
‭04‬,SC,"PALMETTO RECYCLING, INC.",,‭0403274‬,SCD037398120,531 KOON STORE RD ,COLUMBIA,29203,RICHLAND,,,N,‭+34.122800‬,‭-81.011700‬ ,10/13/00,,
‭04‬,SC,ROCHESTER PROPERTY,,‭0403415‬,SCD980840698,JCT LEDBETTER & WHITE HORSE ROAD ,TRAVELERS REST,29690,GREENVILLE,,,N,‭+34.971900‬,‭-82.501500‬ ,10/09/07,,
‭04‬,TN,AMNICOLA DUMP,,‭0404007‬,TND980729172,AMNICOLA HWY ,CHATTANOOGA,37406,HAMILTON,,,N,‭+35.062500‬,‭-85.276380‬ ,04/30/96,,
‭04‬,TN,CHEMET CO.,,‭0405468‬,TND987768546,Postal Address is unavailable for the Site ,MOSCOW,38057,FAYETTE,,,N,‭+35.083610‬,‭-89.372490‬ ,10/09/96,,
‭04‬,TN,GALLAWAY PITS,,‭0404005‬,TND980728992,OFF HWY 70 ,GALLAWAY,38036,FAYETTE,,,N,‭+35.359710‬,‭-89.601930‬ ,04/29/96,,
‭04‬,TN,ICG ISELIN RAILROAD YARD,,‭0405179‬,TND987767795,ISELIN ST ,JACKSON,38301,MADISON,,,N,‭+35.602500‬,‭-88.797680‬ ,01/07/02,,
‭04‬,TN,LEWISBURG DUMP,,‭0404006‬,TND980729115,CRUSHER RD ,LEWISBURG,37091,MARSHALL,,,N,‭+35.481380‬,‭-86.784160‬ ,02/21/96,,
‭04‬,TN,NORTH HOLLYWOOD DUMP,,‭0403873‬,TND980558894,1700-2000 BLKS/N. HOLLYWOOD ST ,MEMPHIS,38108,SHELBY,,,N,‭+35.185550‬,‭-89.979160‬ ,12/31/97,,
‭05‬,IL,"A & F MATERIAL RECLAIMING, INC.",,‭0500534‬,ILD980397079,WEST CUMBERLAND ,GREENUP,62428,CUMBERLAND,,,N,‭+39.243900‬,‭-88.174000‬ ,06/11/12,,
‭05‬,IL,BELVIDERE MUNICIPAL LANDFILL,,‭0500542‬,ILD980497663,APPLETON RD ,BELVIDERE,61008,BOONE,,,N,‭+42.264300‬,‭-88.872300‬ ,02/09/15,,
‭05‬,IL,ILADA ENERGY CO.,,‭0500942‬,ILD980996789,ROUTE 3 ,EAST CAPE GIRARDEAU,62957,ALEXANDER,,,N,‭+37.258400‬,‭-89.463500‬ ,01/08/01,,
‭05‬,IL,KERR-MCGEE (REED-KEPPLER PARK),,‭0500761‬,ILD980824007,NEAR JCT OF YALE & NATIONAL ,WEST CHICAGO,60185,DUPAGE,,,N,‭+41.891930‬,‭-088.208330‬ ,02/08/10,,
‭05‬,IL,KERR-MCGEE (SEWAGE TREATMENT PLANT),,‭0500763‬,ILD980824031,59TH ST & ROOSEVELT RD ,WEST CHICAGO,60185,DUPAGE,,,N,‭+41.864300‬,‭-088.192400‬ ,04/22/13,,
‭05‬,IL,PETERSEN SAND & GRAVEL,,‭0500127‬,ILD003817137,ILLINOIS ROUTES 21 & 137 ,LIBERTYVILLE,60048,LAKE,,,N,‭+42.315830‬,‭-087.953700‬ ,02/11/91,,
‭05‬,IN,CARTER LEE LUMBER CO.,,‭0501376‬,IND016395899,1621 WEST WASHINGTON STREET ,INDIANAPOLIS,46222,MARION,,,N,‭+39.765400‬,‭-86.191800‬ ,07/09/96,,
‭05‬,IN,COLUMBUS OLD MUNICIPAL LANDFILL #1,,‭0501673‬,IND980607626,3RD ST BRIDGE AT WHITE RIVER ,COLUMBUS,47201,BARTHOLOMEW,,,N,‭+39.197400‬,‭-85.926000‬ ,01/24/14,,
‭05‬,IN,INTERNATIONAL MINERALS (E. PLANT),,‭0502150‬,INT190010876,LOCKPORT RD ,TERRE HAUTE,47802,VIGO,,,N,‭+39.437780‬,‭-87.391380‬ ,02/11/91,,
‭05‬,IN,NEAL'S DUMP (SPENCER),,‭0501817‬,IND980794549,T9N R4W SEC 12 ,SPENCER,47460,OWEN,,,N,‭+39.238100‬,‭-086.796800‬ ,10/04/99,,
‭05‬,IN,POER FARM,,‭0501805‬,IND980684583,CO RD 1050E & CR 400N ,HANCOCK COUNTY,46117,HANCOCK,,,N,‭+39.844710‬,‭-085.605280‬ ,02/11/91,,
‭05‬,IN,SOUTHSIDE SANITARY LANDFILL,,‭0501655‬,IND980607360,2561 KENTUCKY AVENUE ,INDIANAPOLIS,46221,MARION,,,N,‭+39.716110‬,‭-086.205000‬ ,07/03/97,,
‭05‬,IN,TRI-STATE PLATING,,‭0501308‬,IND006038764,1716 KELLER AVE ,COLUMBUS,47201,BARTHOLOMEW,,,N,‭+39.216400‬,‭-085.900700‬ ,07/14/97,,
‭05‬,IN,"WASTE, INC., LANDFILL",,‭0501630‬,IND980504005,1701 EAST US 12 ,MICHIGAN CITY,46360,LA PORTE,,,N,‭+41.721660‬,‭-086.880000‬ ,10/20/08,,
‭05‬,IN,"WEDZEB ENTERPRISES, INC.",,‭0501815‬,IND980794374,320 SOUTH BALLARD STREET ,LEBANON,46052,BOONE,,,N,‭+40.045300‬,‭-086.472300‬ ,09/10/91,,
‭05‬,IN,WHITEFORD SALES & SERVICE INC./NATIONALEASE,,‭0501978‬,IND980999791,2020 WEST SAMPLE STREET ,SOUTH BEND,46619,ST. JOSEPH,,,N,‭+41.663880‬,‭-086.280280‬ ,09/06/96,,
‭05‬,MI,ANDERSON DEVELOPMENT CO.,,‭0502220‬,MID002931228,1415 EAST MICHIGAN STREET ,ADRIAN,49221,LENAWEE,,,N,‭+41.893610‬,‭-84.017210‬ ,01/26/96,,
‭05‬,MI,"AVENUE ""E"" GROUND WATER CONTAMINATION",,‭0503006‬,MID980791461,AVENUE E ,TRAVERSE CITY,49684,GRAND TRAVERSE,,,N,‭+44.750710‬,‭-85.577500‬ ,03/20/07,,
‭05‬,MI,BERLIN & FARRO,,‭0502172‬,MID000605717,8322 S MOORISH RD ,SWARTZ CREEK,48473,GENESEE,,,N,‭+42.904000‬,‭-83.834800‬ ,06/24/98,,
‭05‬,MI,BURROWS SANITATION,,‭0502733‬,MID980410617,ME1/4 SEC10 R16W T3S ,HARTFORD,49057,VAN BUREN,,,N,‭+42.223300‬,‭-86.150200‬ ,07/14/15,,
‭05‬,MI,"CARTER INDUSTRIALS, INC.",,‭0502729‬,MID980274179,4690 HUMBOLDT ,DETROIT,48208,WAYNE,,,N,‭+42.345280‬,‭-83.091660‬ ,03/25/97,,
‭05‬,MI,CEMETERY DUMP,,‭0503025‬,MID980794663,8905 N MILFORD RD ,ROSE CENTER,48442,OAKLAND,,,N,‭+42.725280‬,‭-83.610280‬ ,04/19/95,,
‭05‬,MI,CHARLEVOIX MUNICIPAL WELL,,‭0503013‬,MID980794390,LAKE SHORE DRIVE ,CHARLEVOIX,49720,CHARLEVOIX,,,N,‭+45.317780‬,‭-85.266660‬ ,12/02/93,,
‭05‬,MI,CLIFF/DOW DUMP,,‭0502860‬,MID980608970,CO RD 550 1/2MI N DEAD RIV ,MARQUETTE,49855,MARQUETTE,,,N,‭+46.574430‬,‭-87.420000‬ ,11/17/00,,
‭05‬,MI,FOLKERTSMA REFUSE,,‭0502876‬,MID980609366,1426 PANNELL ROAD NORTHWEST ,GRAND RAPIDS,49504,KENT,,,N,‭+43.001660‬,‭-85.703330‬ ,04/10/96,,
‭05‬,MI,GRATIOT COUNTY GOLF COURSE,,‭0503022‬,MID980794531,EDGEWOOD GOLF COURSE ,ST. LOUIS,48880,GRATIOT,,,N,‭+43.416410‬,‭-084.623460‬ ,09/08/83,,
‭05‬,MI,H & K SALES,,‭0507645‬,MI0001271535,BRIDGE STREET ,BELDING,48809,IONIA,,,N,‭+43.098610‬,‭-85.228330‬ ,05/21/98,,
‭05‬,MI,KENT CITY MOBILE HOME PARK,,‭0503350‬,MID981089915,135 SOUTH MAIN STREET ,KENT CITY,49330,KENT,,,N,‭+43.216660‬,‭-085.753330‬ ,03/20/95,,
‭05‬,MI,LOWER ECORSE CREEK DUMP,,‭0506252‬,MID985574227,Postal Address is unavailable for the Site ,WYANDOTTE,48192,WAYNE,,,N,‭+42.234160‬,‭-083.157770‬ ,07/01/05,,
‭05‬,MI,MASON COUNTY LANDFILL,,‭0503019‬,MID980794465,W1/4 NE1/4 T18N R18W ,PERE MARQUETTE TWP,49431,MASON,,,N,‭+43.918500‬,‭-086.429200‬ ,09/09/99,,
‭05‬,MI,METAL WORKING SHOP,,‭0503169‬,MID980992952,REYNOLDS ROAD ,LAKE ANN,49650,BENZIE,,,N,‭+44.730000‬,‭-085.857500‬ ,12/23/92,,
‭05‬,MI,NOVACO INDUSTRIES,,‭0502651‬,MID084566900,9411 SUMMERFIELD ROAD ,TEMPERANCE,48182,MONROE,,,N,‭+41.785600‬,‭-083.644300‬ ,07/14/98,,
‭05‬,MI,OSSINEKE GROUND WATER CONTAMINATION,,‭0503017‬,MID980794440,US 23 N OF NICHOLSON ROAD ,OSSINEKE,49766,ALPENA,,,N,‭+44.903330‬,‭-083.442210‬ ,01/31/96,,
‭05‬,MI,SPIEGELBERG LANDFILL,,‭0503021‬,MID980794481,SPICER RD ,GREEN OAK TOWNSHIP,48116,LIVINGSTON,,,N,‭+42.454160‬,‭-083.772210‬ ,06/13/11,,
‭05‬,MI,WASTE MANAGEMENT OF MICHIGAN (HOLLAND LAGOONS),,‭0502568‬,MID060179587,2700 N 168TH ST ,HOLLAND,49424,OTTAWA,,,N,‭+42.824210‬,‭-086.189380‬ ,01/14/13,,
‭05‬,MI,WHITEHALL MUNICIPAL WELLS,,‭0502993‬,MID980701254,718 EAST COLBY ,WHITEHALL,49461,MUSKEGON,,,N,‭+43.412210‬,‭-086.328880‬ ,02/11/91,,
‭05‬,MN,ADRIAN MUNICIPAL WELL FIELD,,‭0503898‬,MND980904023,ADRIAN CITY LIMITS ,ADRIAN,56110,NOBLES,,,N,‭+43.638210‬,‭-95.934000‬ ,12/30/92,,
‭05‬,MN,AGATE LAKE SCRAPYARD,,‭0503896‬,MND980898068,WESTERN SHORE OF AGATE LAKE ,FAIRVIEW TOWNSHIP,56473,CASS,,,N,‭+46.453560‬,‭-94.375830‬ ,08/01/97,,
‭05‬,MN,"BOISE CASCADE/ONAN CORP./MEDTRONICS, INC.",,‭0503776‬,MND053417515,1400 73RD AVENUE NE ,FRIDLEY,55432,ANOKA,,,N,‭+45.095830‬,‭-93.233330‬ ,02/15/95,,
‭05‬,MN,DAKHUE SANITARY LANDFILL,,‭0503946‬,MND981191570,260TH & HOGAN AVE ,CANNON FALLS,55031,DAKOTA,,,N,‭+44.571800‬,‭-92.927700‬ ,07/24/95,,
‭05‬,MN,EAST BETHEL DEMOLITION LANDFILL,,‭0503926‬,MND981088180,HWY 65 AT 22 1ST AVE ,EAST BETHEL TOWNSHIP,55011,ANOKA,,,N,‭+45.365300‬,‭-93.224600‬ ,05/07/96,,
‭05‬,MN,KOCH REFINING CO./N-REN CORP.,,‭0503686‬,MND000686071,12555 US HIGHWAY 55 ,ROSEMOUNT,55058,DAKOTA,,,N,‭+44.768400‬,‭-093.040600‬ ,06/15/95,,
‭05‬,MN,KUMMER SANITARY LANDFILL,,‭0503900‬,MND980904049,ANNE ST ,BEMIDJI,56601,BELTRAMI,,,N,‭+47.506530‬,‭-094.892710‬ ,04/26/96,,
‭05‬,MN,LAGRAND SANITARY LANDFILL,,‭0503937‬,MND981090483,1MI N OF I-94 W OF CSAH 40 ,LAGRAND TOWNSHIP,56308,DOUGLAS,,,N,‭+45.900000‬,‭-095.496660‬ ,10/23/97,,
‭05‬,MN,MORRIS ARSENIC DUMP,,‭0503891‬,MND980792287,ADJACENT TO HWY 28 & HWY 59 ,MORRIS,56267,STEVENS,,,N,‭+45.606600‬,‭-095.884500‬ ,03/07/86,,
‭05‬,MN,NL INDUSTRIES/TARACORP/GOLDEN AUTO,,‭0503817‬,MND097891634,3645 HAMPSHIRE AVENUE ,ST. LOUIS PARK,55426,HENNEPIN,,,N,‭+44.936110‬,‭-093.363610‬ ,05/21/98,,
‭05‬,MN,OAK GROVE SANITARY LANDFILL,,‭0503901‬,MND980904056,2536 VIKING BLVD NORTHWEST ,OAK GROVE TOWNSHIP,55011,ANOKA,,,N,‭+45.317000‬,‭-093.331700‬ ,10/17/96,,
‭05‬,MN,OLMSTED COUNTY SANITARY LANDFILL,,‭0503697‬,MND000874354,1MI EAST HWY 52 1/2MI NORTH HWY 154 ,ORONOCO,55960,OLMSTED,,,N,‭+44.130860‬,‭-092.500630‬ ,02/15/95,,
‭05‬,MN,PINE BEND SANITARY LANDFILL,,‭0503678‬,MND000245795,2495 E 117TH ST ,DAKOTA COUNTY,55075,DAKOTA,,,N,‭+44.784710‬,‭-093.050550‬ ,06/23/98,,
‭05‬,MN,ST. AUGUSTA SANITARY LANDFILL/ENGEN DUMP,,‭0503925‬,MND981002256,"EAST OF I-94, WEST OF RAILROAD ",ST. AUGUSTA TOWNSHIP,56301,STEARNS,,,N,‭+45.481660‬,‭-094.135000‬ ,11/14/96,,
‭05‬,MN,TWIN CITIES AIR FORCE RESERVE BASE (SMALL ARMS RANGE LANDFILL),,‭0504012‬,MN8570024275,MINNEAPOLIS ST PAUL IAP ,MINNEAPOLIS,55450,HENNEPIN,,,Y,‭+44.863060‬,‭-093.204710‬ ,12/16/96,,
